,index,ts_hour_sin,ts_hour_cos,tou_offpeak,tou_standard,tou_peak,day_week,day_saturday,day_sunday,site_load_energy,solar_prod_energy,solar_ctlr_setpoint,grid_import_energy,grid_notified_maximum_demand,bess_avail_discharge_energy,bess_capacity,bess_cycle_efficiency,bess_charge_from_solar_energy,bess_charge_from_grid_energy,bess_discharge_energy,tou_peak_tariff,tou_standard_tariff,tou_offpeak_tariff,solar_ppa_tariff,debug_flag,grid_surplus_energy,solar_surplus_energy,solar_vs_load_ratio,bess_soc,action_name,reward_earned
20,20,0.9129452507276277,0.40808206181339196,0.0,1.0,0.0,1.0,0.0,0.0,1139.3,0.0,100.0,1139.3,2000.0,3000.0,3000.0,0.9,0.0,2.2737367544323206e-13,0.0,5.0,2.0,1.0,1.4,True,860.7,0.0,0.0,100.0,charge-1000,1000.0
21,21,0.8366556385360561,-0.5477292602242684,0.0,1.0,0.0,1.0,0.0,0.0,1074.1,0.0,100.0,1074.1,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,925.9,0.0,0.0,100.0,charge-500,1000.0
22,22,-0.008851309290403876,-0.9999608263946371,1.0,0.0,0.0,1.0,0.0,0.0,1126.2,0.0,100.0,1126.2,2000.0,3000.0,3000.0,0.9,-0.0,-2.2737367544323206e-13,0.0,5.0,2.0,1.0,1.4,True,873.8,0.0,0.0,100.0,charge-1500,1000.0
23,23,-0.8462204041751706,-0.5328330203333975,1.0,0.0,0.0,1.0,0.0,0.0,1438.5,0.0,100.0,1438.5,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,561.5,0.0,0.0,100.0,charge-1000,1000.0
24,24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1255.3,0.0,100.0,1255.3,2000.0,3000.0,3000.0,0.9,0.0,2.2737367544323206e-13,0.0,5.0,2.0,1.0,1.4,True,744.7,0.0,0.0,100.0,charge-1500,1000.0
25,25,0.8414709848078965,0.5403023058681398,1.0,0.0,0.0,1.0,0.0,0.0,1339.7,0.0,100.0,1339.7,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,660.3,0.0,0.0,100.0,do-nothing,1000.0
26,26,0.9092974268256817,-0.4161468365471424,1.0,0.0,0.0,1.0,0.0,0.0,1292.2,0.0,100.0,1292.2,2000.0,3000.0,3000.0,0.9,-0.0,-2.2737367544323206e-13,0.0,5.0,2.0,1.0,1.4,True,707.8,0.0,0.0,100.0,charge-1000,1000.0
27,27,0.1411200080598672,-0.9899924966004454,1.0,0.0,0.0,1.0,0.0,0.0,1201.4,0.0,100.0,1201.4,2000.0,3000.0,3000.0,0.9,0.0,1.1368683772161603e-13,0.0,5.0,2.0,1.0,1.4,True,798.6,0.0,0.0,100.0,charge-1500,1000.0
28,28,-0.7568024953079282,-0.6536436208636119,1.0,0.0,0.0,1.0,0.0,0.0,1159.9,0.0,100.0,1159.9,2000.0,3000.0,3000.0,0.9,0.0,1.1368683772161603e-13,0.0,5.0,2.0,1.0,1.4,True,840.1,0.0,0.0,100.0,charge-1500,1000.0
29,29,-0.9589242746631385,0.28366218546322625,1.0,0.0,0.0,1.0,0.0,0.0,1147.87,10.97,100.0,1136.9,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,863.1,0.0,0.96,100.0,charge-500,1000.0
30,30,-0.27941549819892586,0.960170286650366,0.0,0.0,1.0,1.0,0.0,0.0,1269.61,102.91,100.0,1166.7,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,833.3,0.0,8.11,100.0,do-nothing,1000.0
31,31,0.6569865987187891,0.7539022543433046,0.0,0.0,1.0,1.0,0.0,0.0,1284.45,212.85,100.0,1071.6,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,928.4,0.0,16.57,100.0,do-nothing,1000.0
32,32,0.9893582466233818,-0.14550003380861354,0.0,0.0,1.0,1.0,0.0,0.0,1302.3,310.7,100.0,991.6,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1008.4,0.0,23.86,100.0,charge-500,1000.0
33,33,0.4121184852417566,-0.9111302618846769,0.0,1.0,0.0,1.0,0.0,0.0,1350.16,496.26,100.0,853.9,2000.0,2500.0,3000.0,0.9,0.0,0.0,500.0,5.0,2.0,1.0,1.4,True,1146.1,0.0,36.76,83.33,discharge-500,166.62999999999988
34,34,-0.5440211108893698,-0.8390715290764524,0.0,1.0,0.0,1.0,0.0,0.0,1295.3,969.0,100.0,326.3,2000.0,3000.0,3000.0,0.9,0.0,500.0,0.0,5.0,2.0,1.0,1.4,True,1673.7,0.0,74.81,100.0,charge-1500,1350.0
35,35,-0.9999902065507035,0.004425697988050785,0.0,1.0,0.0,1.0,0.0,0.0,1393.6,884.5,87.701,509.1,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1490.9,124.04,63.47,100.0,do-nothing,1000.0
36,36,-0.5365729180004349,0.8438539587324921,0.0,1.0,0.0,1.0,0.0,0.0,1341.7,404.0,98.86,937.7,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1062.3,4.66,30.11,100.0,charge-500,1000.0
37,37,0.4201670368266409,0.9074467814501962,0.0,1.0,0.0,1.0,0.0,0.0,1191.6,256.0,96.312,935.6,2000.0,3000.0,3000.0,0.9,2.0743455774936456e-15,2.2529932986573841e-13,0.0,5.0,2.0,1.0,1.4,True,1064.4,9.8,21.48,100.0,charge-1500,1000.0
38,38,0.9906073556948704,0.1367372182078336,0.0,1.0,0.0,1.0,0.0,0.0,1292.7,667.0,97.233,625.7,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1374.3,18.98,51.6,100.0,charge-1000,1000.0
39,39,0.6502878401571168,-0.7596879128588213,0.0,1.0,0.0,1.0,0.0,0.0,1272.6,664.2,99.667,608.4,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1391.6,2.22,52.19,100.0,do-nothing,1000.0
40,40,-0.2879033166650653,-0.9576594803233847,0.0,1.0,0.0,1.0,0.0,0.0,1191.5,422.7,100.0,768.8,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1231.2,0.0,35.48,100.0,charge-500,1000.0
41,41,-0.9613974918795568,-0.27516333805159693,0.0,0.0,1.0,1.0,0.0,0.0,1056.4,123.6,100.0,932.8,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1067.2,0.0,11.7,100.0,charge-500,1000.0
42,42,-0.750987246771676,0.6603167082440802,0.0,0.0,1.0,1.0,0.0,0.0,986.65,11.85,100.0,974.8,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1025.2,0.0,1.2,100.0,charge-500,1000.0
43,43,0.14987720966295234,0.9887046181866692,0.0,1.0,0.0,1.0,0.0,0.0,971.7,0.0,100.0,971.7,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1028.3,0.0,0.0,100.0,do-nothing,1000.0
44,44,0.9129452507276277,0.40808206181339196,0.0,1.0,0.0,1.0,0.0,0.0,1000.6,0.0,100.0,1000.6,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,999.4,0.0,0.0,100.0,charge-500,1000.0
45,45,0.8366556385360561,-0.5477292602242684,0.0,1.0,0.0,1.0,0.0,0.0,1001.0,0.0,100.0,1001.0,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,999.0,0.0,0.0,100.0,charge-1000,1000.0
46,46,-0.008851309290403876,-0.9999608263946371,1.0,0.0,0.0,1.0,0.0,0.0,1146.6,0.0,100.0,1146.6,2000.0,3000.0,3000.0,0.9,-0.0,-1.1368683772161603e-13,0.0,5.0,2.0,1.0,1.4,True,853.4,0.0,0.0,100.0,charge-1500,1000.0
47,47,-0.8462204041751706,-0.5328330203333975,1.0,0.0,0.0,1.0,0.0,0.0,1461.2,0.0,100.0,1461.2,2000.0,1538.8,3000.0,0.9,0.0,0.0,1461.2,5.0,2.0,1.0,1.4,True,538.8,0.0,0.0,51.29,discharge-1500,-4221.24
48,48,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1343.2,0.0,100.0,1343.2,2000.0,2195.6,3000.0,0.9,0.0,656.8,0.0,5.0,2.0,1.0,1.4,True,656.8,0.0,0.0,73.19,charge-1000,1412.1200000000001
49,49,0.8414709848078965,0.5403023058681398,1.0,0.0,0.0,1.0,0.0,0.0,1408.0,0.0,100.0,1408.0,2000.0,2787.6,3000.0,0.9,0.0,592.0,0.0,5.0,2.0,1.0,1.4,True,592.0,0.0,0.0,92.92,charge-1000,2202.0
50,50,0.9092974268256817,-0.4161468365471424,1.0,0.0,0.0,1.0,0.0,0.0,1369.9,0.0,100.0,1369.9,2000.0,1787.6,3000.0,0.9,0.0,0.0,1000.0,5.0,2.0,1.0,1.4,True,630.1,0.0,0.0,59.59,discharge-1000,-2888.89
51,51,0.1411200080598672,-0.9899924966004454,1.0,0.0,0.0,1.0,0.0,0.0,1188.5,0.0,100.0,1188.5,2000.0,2599.1,3000.0,0.9,0.0,811.5,0.0,5.0,2.0,1.0,1.4,True,811.5,0.0,0.0,86.64,charge-1000,2611.12
52,52,-0.7568024953079282,-0.6536436208636119,1.0,0.0,0.0,1.0,0.0,0.0,1210.4,0.0,100.0,1210.4,2000.0,2599.1,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,789.6,0.0,0.0,86.64,do-nothing,866.4
53,53,-0.9589242746631385,0.28366218546322625,1.0,0.0,0.0,1.0,0.0,0.0,1249.42,37.52,100.0,1211.9,2000.0,3000.0,3000.0,0.9,0.0,400.9000000000002,0.0,5.0,2.0,1.0,1.4,True,788.1,0.0,3.0,100.0,charge-1500,1861.94
54,54,-0.27941549819892586,0.960170286650366,0.0,0.0,1.0,1.0,0.0,0.0,1326.6,224.4,100.0,1102.2,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,897.8,0.0,16.92,100.0,do-nothing,1000.0
55,55,0.6569865987187891,0.7539022543433046,0.0,0.0,1.0,1.0,0.0,0.0,1384.5,479.8,100.0,904.7,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1095.3,0.0,34.66,100.0,charge-500,1000.0
56,56,0.9893582466233818,-0.14550003380861354,0.0,0.0,1.0,1.0,0.0,0.0,1396.9,845.2,100.0,551.7,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1448.3,0.0,60.51,100.0,charge-1000,1000.0
57,57,0.4121184852417566,-0.9111302618846769,0.0,1.0,0.0,1.0,0.0,0.0,1329.5,1095.6,100.0,233.9,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1766.1,0.0,82.41,100.0,do-nothing,1000.0
58,58,-0.5440211108893698,-0.8390715290764524,0.0,1.0,0.0,1.0,0.0,0.0,1426.0,1266.3,99.998,159.7,2000.0,2840.3,3000.0,0.9,0.0,0.0,159.7,5.0,2.0,1.0,1.4,True,1840.3,0.03,88.8,94.68,discharge-1000,733.91
59,59,-0.9999902065507035,0.004425697988050785,0.0,1.0,0.0,1.0,0.0,0.0,1546.1,1063.6,97.83,482.5,2000.0,3000.0,3000.0,0.9,2.511548666666664,157.18845133333315,0.0,5.0,2.0,1.0,1.4,True,1517.5,23.59,68.79,100.0,charge-1500,1109.68
