timestamp,pv_production,grid_power,lds_tou,hds_tou,load_shedding
15:40,29.57,28.52,S,S,T
15:45,28.45,26.36,S,S,T
15:50,27.24,32.16,S,S,T
15:55,26.22,48.04,S,S,T
16:00,25.14,62.4,S,S,F
16:05,23.93,110.4,S,S,F
16:10,22.82,101.64,S,S,F
16:15,21.29,95.92,S,S,F
16:20,20,96.04,S,S,F
16:25,18.64,86.08,S,S,F
16:30,17.36,83.16,S,S,F
16:35,16.03,76.2,S,S,F
16:40,14.74,103,S,S,F
16:45,13.43,85.12,S,S,F
16:50,12.04,84.64,S,S,F
16:55,10.32,94.32,S,S,F
17:00,5.17,92.04,S,P,F
17:05,3.3,109.2,S,P,F
17:10,1.96,101,S,P,F
17:15,2.47,87.92,S,P,F
17:20,3.48,84,S,P,F
17:25,1.7,71.28,S,P,F
17:30,0.82,79.44,S,P,F
17:35,0.46,32.93,S,P,F
17:40,0.25,81.4,S,P,F
17:45,0.16,81.32,S,P,F
17:50,0.07,75.84,S,P,F
17:55,0,65.36,S,P,F
18:00,0,64.2,P,P,F
18:05,0,76.96,P,P,F
18:10,0,77.04,P,P,F
18:15,0,68.96,P,P,F
18:20,0,71.96,P,P,F
18:25,0,66.76,P,P,F
18:30,0,70.04,P,P,F
18:35,0,78.24,P,P,F
18:40,0,67,P,P,F
18:45,0,62.84,P,P,F
18:50,0,65.2,P,P,F
18:55,0,72.08,P,P,F
19:00,0,59.84,P,S,F
19:05,0,51.4,P,S,F
19:10,0,49.88,P,S,F
19:15,0,50,P,S,F
19:20,0,49.04,P,S,F
19:25,0,52.24,P,S,F
19:30,0,49.6,P,S,F
19:35,0,48.72,P,S,F
19:40,0,51.52,P,S,F
19:45,0,52.68,P,S,F
19:50,0,47,P,S,F
19:55,0,46.68,P,S,F
20:00,0,46.48,S,S,F
20:05,0,51.68,S,S,F
20:10,0,52.28,S,S,F
20:15,0,45.36,S,S,F
20:20,0,44.36,S,S,F
20:25,0,43.16,S,S,F
20:30,0,43.16,S,S,F
20:35,0,37.48,S,S,F
20:40,0,34.16,S,S,F
20:45,0,35.08,S,S,F
20:50,0,34.88,S,S,F
20:55,0,37.08,S,S,F
21:00,0,45.88,S,S,F
21:05,0,38.52,S,S,F
21:10,0,38.76,S,S,F
21:15,0,41.16,S,S,F
21:20,0,37.72,S,S,F
21:25,0,35.2,S,S,F
21:30,0,36.56,S,S,F
21:35,0,30.32,S,S,F
21:40,0,32.36,S,S,F
21:45,0,33.16,S,S,F
21:50,0,34.72,S,S,F
21:55,0,33.48,S,S,F
22:00,0,34.48,O,O,T
22:05,0,33.16,O,O,T
22:10,0,35.8,O,O,T
22:15,0,38.8,O,O,T
22:20,0,35.8,O,O,T
22:25,0,37,O,O,T
22:30,0,35.48,O,O,T
22:35,0,34.84,O,O,T
22:40,0,34.16,O,O,T
22:45,0,27.76,O,O,T
22:50,0,27.56,O,O,T
22:55,0,30.12,O,O,T
23:00,0,31.4,O,O,T
23:05,0,30.08,O,O,T
23:10,0,34.04,O,O,T
23:15,0,33.44,O,O,T
23:20,0,32.48,O,O,T
23:25,0,33.28,O,O,T
23:30,0,36.72,O,O,T
23:35,0,36.16,O,O,T
23:40,0,35.36,O,O,T
23:45,0,35.56,O,O,T
23:50,0,35.52,O,O,T
23:55,0,35.8,O,O,T
